ticker,total_earnings,earnings_analyzed,avg_1day_drift,avg_5day_drift,avg_10day_drift,avg_1day_drift_on_beat,avg_5day_drift_on_beat,avg_10day_drift_on_beat,avg_1day_drift_on_miss,avg_5day_drift_on_miss,avg_10day_drift_on_miss,big_beats_count,avg_10day_drift_on_big_beat,big_beat_win_rate,drift_10day_std,beat_drift_win_rate,best_drift_10day,worst_drift_10day
ASTS,14,14,5.608845794803139,8.28645704457764,14.084471773012723,2.9432128856666,6.104865099113516,23.191996232870117,8.27447870393968,10.468048990041764,4.976947313155327,7,23.191996232870117,0.5714285714285714,40.75647221622995,0.5714285714285714,149.25816023738875,-15.96638655462185
CMPO,14,14,1.046706166577856,2.377622094281666,5.575713991256066,5.8229189055283745,6.576037481634984,9.042808091952072,-3.7295065723726624,-1.8207932930716524,2.108619890560061,4,10.477343920399957,0.75,11.713695774103439,0.7142857142857143,26.1780104712042,-15.62974203338392
AGYS,24,24,2.4913546603231698,5.0147203569257455,9.906252743094294,2.3482118749623555,5.064102976393393,9.829119043322104,3.4933541578488683,4.669042020652207,10.446188641499623,20,10.173663142599942,0.8,12.43269905673857,0.8095238095238095,34.34004474272931,-12.597636691367914
RMBS,24,24,4.096792901839542,4.814482019721803,7.4106269593258425,4.11083340255644,4.811622823811592,7.353476317291241,4.043438999115335,4.825346964180598,7.627799399057338,14,8.68228927991012,0.6428571428571429,11.539248999835957,0.6842105263157895,28.94555478980014,-15.607050901168554
PAR,23,23,1.532997071012531,3.1379990795689015,5.107271357139092,0.8162538518377677,4.623204378527132,3.198904458504958,1.9937605690534508,2.1832242445243257,6.334078649118179,7,8.489556259363786,0.7142857142857143,13.758714490671002,0.5555555555555556,33.032258064516135,-21.530010718113612
ABCB,24,24,1.0926663780261243,3.104139456828488,4.214359055628223,0.6442598785865978,3.4453657662173036,5.914571469738081,1.9894793769051762,2.4216868380508574,0.8139342274085091,8,7.447657591878337,0.875,7.122209348286928,0.8125,17.067159581022803,-11.43552311435523
CR,23,10,4.273977851865434,3.5824336118341185,6.331163195779217,4.273977851865434,3.5824336118341185,6.331163195779217,0.0,0.0,0.0,7,7.2780587292632655,0.5714285714285714,9.483090499061383,0.6,20.77890662796322,-9.913043478260875
DORM,24,24,1.130296310532623,2.879778215764351,3.810456527446378,2.402673151944293,4.778466000264612,6.3108547174343075,-0.6510312674437162,0.22161531746398705,0.30989906146327706,12,7.142451657304247,0.9166666666666666,7.246515938004704,0.8571428571428571,14.522354454808612,-10.853180584865846
IBRX,18,18,-0.9009680805984546,3.3809348005618194,-1.5132689192050954,4.433065988662096,4.353734908693188,6.963132151598007,-1.9677748944505649,3.1863747789355465,-3.2085491333657155,3,6.963132151598007,1.0,18.50528868716651,1.0,50.54545454545454,-36.36363636363637
PIPR,24,24,1.0923100642034835,3.861942460227483,6.940911997168833,1.160080069522822,4.182006791460257,6.816258159631329,0.34684000569075857,0.34123481666697386,8.312104210081369,22,6.816258159631329,0.7727272727272727,7.1272417230415765,0.7727272727272727,24.438701340655808,-3.5157974396165663
EEFT,24,24,-0.7089920991185924,-0.9007066257663766,-0.4219270743571357,-1.0906008996812957,0.7325221720576063,2.310828633281463,0.054225502006814086,-4.1671642214143425,-5.887438489634334,8,6.531694987861039,0.75,11.785387821733224,0.6875,35.27614305115437,-26.180698151950715
TLN,7,7,-1.556219268827401,1.8997189469741307,6.25764790702643,-1.3324028703248596,1.1492722265052417,6.053867212722936,-2.8991176598426516,6.402399269787463,7.480332072847398,6,6.053867212722936,0.6666666666666666,7.129795576473883,0.6666666666666666,19.678461659705267,-3.3829207052026167
BOH,24,24,0.10247081220182581,0.554201989026975,2.0024228156491146,0.13969650580297271,0.6477620922709487,2.74913483749311,-0.038986823482532615,0.19867359669987578,-0.8350828673580682,11,5.521130680457013,0.8181818181818182,6.6997354689893385,0.631578947368421,17.344262295081965,-13.278259117469279
OLN,24,24,2.2625103921259124,3.276033633255983,3.367400467101755,2.587032491010807,5.392380738183972,5.383474999524803,1.4743852948340253,-1.8636664787119879,-1.5287805402113617,17,5.383474999524803,0.7058823529411765,11.530148428222805,0.7058823529411765,27.468581687612204,-24.71685542971352
UFPI,24,24,0.6536655413276803,1.4433330034128884,3.341728110124597,1.629879271743478,1.6532873033772166,3.499039285219669,-1.2987619195039153,1.0234244034842308,3.0271057599344506,14,4.885981898622883,0.7142857142857143,8.885082269526384,0.625,21.840170737491107,-12.339293630855625
