ticker,earnings_date,price_at_earnings,price_vs_52w_high,price_vs_52w_low,rsi_14d,volatility_30d,avg_true_range_14d,volume_vs_avg,price_trend_30d,distance_from_ma_20,distance_from_ma_50
FFIN,2024-10-16,37.97421646118164,98.52470045974407,173.65491965233565,64.13044923676534,23.288015586100833,0.9064809374061065,0.8211331048220663,0.03188863124147186,4.8955721828289995,7.171386223999344
INDB,2024-10-16,61.977787017822266,97.28886874735602,149.8679930652019,71.46192864564965,26.995572945572228,1.6175007890599733,1.3067844102912456,-0.0018436079693595843,8.622831750575456,7.945333955331497
HRI,2024-10-16,170.83628845214844,97.21679096217103,177.0265095965085,79.0020162601626,31.828674318995446,4.395595817526135,2.29002440152759,1.2691378278382206,8.055892960308116,18.336556864638244
UFPI,2024-10-16,135.11807250976562,98.07224644399885,152.70530227525384,66.82158172789839,27.303705454631867,3.3273469137355227,0.7679128259603194,0.7912264084524221,3.203186028324313,10.005176757753269
WABC,2024-10-16,49.30246353149414,88.16498653035922,121.70307742565731,63.797439454786414,23.59608096767171,1.1511343989884355,0.7798257865333725,-0.045712047742392195,4.34781618784779,3.089446172637271
SLB,2024-10-17,42.70616912841797,73.5791274106242,113.78687110316632,59.50783479571426,28.251461056909527,1.0179678670589125,1.3274135379544878,0.17301470169899005,0.9431211754383917,2.2479918372039798
WBS,2024-10-17,52.6678352355957,99.76093956314493,154.70934858258437,76.55404820603933,44.19869050382444,1.5866228419314312,2.7278070825581104,0.13167945598733688,16.025402521040537,18.016875267310557
ALV,2024-10-17,91.30345153808594,73.06686279012368,107.68665622154028,44.83481634100042,28.80007370544843,1.714291682053292,1.3132488917853387,-0.06008849520571952,0.47244859740521017,-2.260289975978478
RF,2024-10-17,23.010618209838867,98.56145915199043,183.80790855596075,64.61540155199577,22.217621154533905,0.5140581082287711,1.6110795445939683,0.04927675291746659,3.800544629324485,6.805975361877027
FITB,2024-10-17,43.762176513671875,99.56111309133459,209.60128814437718,75.08969312265313,20.756002831421245,0.8536370746784867,1.5202399318880047,0.10560868192169785,5.786330993027372,8.727025935913735
AXP,2024-10-17,282.7342529296875,99.79746242424424,205.2387107717926,68.86751024288657,24.66277205167785,4.869180940122001,1.3183588703823543,1.0248719483779658,5.097151188106732,10.151524374133688
STT,2024-10-17,89.74846649169922,97.83298052890115,152.80024459845316,77.556359956671,16.648076022371775,1.6345652914278506,0.8809630086947051,0.29378831330873134,4.4207803327836155,9.004669035289686
ALLY,2024-10-17,34.6647834777832,79.36753681115884,164.67488111750782,57.23791842785509,56.63408989956189,0.8114201364006283,1.4645243443549425,0.021013931172575044,2.373673074219957,-4.87515185638946
HBAN,2024-10-17,14.847184181213379,96.19700988398012,174.84201682496652,64.79401235658594,25.47366512366031,0.33746737667663257,1.4920283411810518,0.03922646090769514,4.0458529116708855,7.0173176203585585
EEFT,2024-10-17,99.06999969482422,84.20023509376128,131.63698761992399,45.57196156306811,22.46289842432074,1.9264297485351562,0.4032765006817984,-0.03636708498266662,0.6660604207240732,-1.2273058733527213
RBCAA,2024-10-17,66.06497955322266,98.77652320852674,164.13903145426457,62.82992363014366,29.186615608773376,1.6013001283259918,1.0936821873643747,0.07771100817585816,5.510707333280256,8.29856641290254
TFC,2024-10-17,40.936439514160156,95.59315697758973,168.80582517269147,52.941202236056135,21.832775295003653,0.8823142678122815,1.7564321877959388,0.04591071072621801,0.9756710624625851,0.8869630214119224
CMA,2024-10-17,59.835174560546875,99.00426574433835,176.9121611553999,68.56490224546158,24.982992899410768,1.3884850519781828,0.8965098476015214,0.16527701050076207,4.583021143110742,9.389823381733228
GD,2024-10-24,295.2063903808594,96.21856967790254,129.91729629172747,53.156005506448615,14.242524338660548,4.62971431528149,1.1486553200055598,0.030842150729532745,-0.06331557048128252,0.740126418940519
VRTS,2024-10-24,203.21739196777344,82.21144096787258,130.71831533167546,54.980343094726166,25.621266126509095,4.5663076988584335,0.9962506695232994,0.3987214696287959,0.8541473457710745,2.385418489744349
HCA,2024-10-24,395.6805114746094,95.62736433337672,182.30925897219555,53.083900511835715,22.53024131101154,9.857653355246498,1.7972705211435402,0.10374336285108021,-0.16205919636206087,1.1098716850165902
PG,2024-10-24,166.40956115722656,95.88470844157175,121.99492363598678,57.10880024992126,12.691043112587105,2.180374764704849,0.8496116729558452,-0.14246305777578627,-0.24586979322906022,-0.7714480618435244
STEL,2024-10-24,25.737743377685547,91.86100386340917,129.98324370995363,61.7647046808149,27.96123461842833,0.6207442416744963,0.6836004398694813,-0.010155546890615782,1.9444852183654313,0.8713047597073097
ITW,2024-10-24,249.40733337402344,95.84562519407201,119.29711973765613,41.76199019427218,13.441888210680897,3.3959241643526314,0.7261370574610159,0.17671146583768765,-1.4522053482612907,1.128905248963307
BAH,2024-10-24,163.5134735107422,99.67682488600883,147.27757583234555,67.9799886471439,14.652591324396813,2.4333811978573316,1.8391493746779708,0.25399284999283034,2.5794272049032307,5.460923866209189
GNTX,2024-10-24,29.076507568359375,79.80493597187188,108.06137074695276,62.44703035232099,22.62400901714702,0.5088209982908342,1.2153386850086842,-0.006928279057758519,0.9624165995122071,-0.360823887792297
PIPR,2024-10-24,283.8806457519531,94.57040260583408,225.10542303930387,48.49843838652718,22.75460239200145,6.505253545868649,1.18002669388396,0.8045140623913697,-0.48796217058130786,3.9902448481364443
DCOM,2024-10-24,29.74100685119629,96.86013418897362,182.39813918988338,65.6987129996246,48.14720625426551,1.0800505398277367,1.1289268003178659,0.10789551358334315,5.491873248719361,13.491892903542183
LKFN,2024-10-24,63.194766998291016,90.40884810911972,143.4636741502849,56.193135751053156,31.458197336771534,1.8404351413789475,0.7999364462222888,-0.05106365810644837,1.4374376968054103,0.12614865710840445
GRC,2024-10-24,37.37791442871094,90.56188933809712,134.7432593456072,43.29267666534752,19.89594061634315,0.6478304897459312,0.5557816127719668,0.013617410967426101,-1.4071686317095111,-0.3954832781326987
TXNM,2024-10-24,43.327842712402344,99.28983647343186,131.8299315905975,71.9764680182567,12.514555509149211,0.5865953914003816,1.0518865712045777,0.035008058134253936,2.5264968584750767,5.369760550238959
WT,2024-10-24,10.262560844421387,86.62151921996913,173.89201138458606,62.96293082901779,27.11848607894472,0.243640567977025,0.7026100414630545,0.01646562094683073,2.960873748531433,4.357272200407542
NVT,2024-10-24,73.47103118896484,86.07591972534722,164.37628554126385,64.37367254935955,27.84544995745343,1.822723943860129,0.813670058888696,0.28136360244835645,2.872223343852883,8.36439863560982
BOH,2024-10-27,62.87169647216797,90.8814099255012,146.74190873267764,63.32498263758148,25.544710517859254,1.5486337067314133,1.413638169758841,0.10200391436312564,1.8078046175762383,2.0732440495146847
ABCB,2024-10-27,60.49042892456055,92.09140045130883,178.25199631037975,51.23151946113888,30.873304131676623,1.7184226379492082,1.5159436794699244,0.04462013202196051,-1.8508160167365828,-0.1817820262107835
KDP,2024-10-27,33.55928421020508,90.89140595317028,123.20249942964374,31.529354313317995,16.913740948959376,0.5711982500607705,1.1789886407435057,-0.052695935241903503,-5.247289601420575,-5.443491341054357
AGYS,2024-10-27,110.19000244140625,87.64018094280091,149.87759449496406,56.21379654471692,38.83447843863724,3.8085708618164062,0.7046562518038844,0.4803893296153686,-2.0781390174745242,1.081729480181956
RVTY,2024-10-27,116.0899887084961,90.82985082329118,146.70566737663938,31.019922397981006,24.433395585304066,2.6407451716532586,0.9833765514200902,-0.24555642506702624,-4.14859409626683,-4.16784283925951
LEG,2024-10-27,11.916397094726562,45.592257891944534,121.41552863948269,33.57145689600597,39.73938244212526,0.3909657264914003,0.47876382298092024,-0.024987664185589047,-6.639562068065471,-4.684493084763421
CR,2024-10-27,148.3032989501953,91.17933943520887,164.96693113545572,35.50045486697795,26.882624276100554,3.694078272340519,1.1266415450297973,0.017510158042352262,-4.800228462878515,-3.1250032643165193
DORM,2024-10-27,114.91000366210938,96.33635549806361,191.48476399952935,69.24110361266264,18.63532510647805,2.2592855181012834,0.6578775616760214,0.0014504675605261936,1.277540725462795,2.1267930119679637
AMKR,2024-10-27,28.985986709594727,66.76755523006179,171.65643342779146,48.52941516639642,38.779628503735616,0.8744573055642972,0.610045426138931,-0.026728475823153693,-0.9710667651290821,-2.856002541736665
NBTB,2024-10-27,42.27464294433594,86.31933815562661,138.86101590518354,54.675296353969024,23.18032372688107,0.9949906803442227,0.6772694781987134,-0.0007834938397273553,-1.4339375107164185,-3.810373818866044
ACGL,2024-10-27,100.1296157836914,90.40954781687104,144.5435791237417,43.04857824045328,27.67293910717694,2.304570800097771,0.979851914199666,-0.23811602056756132,-4.4880626971383535,-4.735366586008888
NOV,2024-10-27,15.117072105407715,74.50016961255128,104.86992320424402,35.401487858038905,25.37569430814035,0.3942746998220526,2.355705401604447,-0.038994258290801345,-1.1817880019937075,-4.567318342150526
FTAI,2024-10-27,142.86964416503906,96.32697283866972,424.5886527636654,59.046934629674446,30.036979262159242,4.320064521665466,0.624192943724747,0.724124262621985,1.8417570113274353,11.000897848843795
NXPI,2024-10-27,238.65457153320312,82.4887581729434,147.9002264510911,60.793556839579,27.777304088371647,6.479112566730777,0.9183673469387755,0.0771223091575235,3.217808054920633,2.1898728750121648
NUE,2024-10-27,139.01275634765625,70.18543105560255,106.41517984315989,34.3507569278231,31.426036252224986,4.353753464141797,1.09520022697002,0.1306077390677104,-6.137201262204557,-3.9037331839707874
NE,2024-10-27,30.119966506958008,63.66375404076566,103.74399193573211,21.833096212644506,35.58966723057852,1.0266054359536498,0.6099730978146112,-0.15158168084099016,-6.528857443695332,-8.631032066160845
PFG,2024-10-27,80.66216278076172,91.00891391488635,129.99800024778511,42.93951414629917,26.76878899539706,1.7496046261747378,3.458364742315066,0.2075374683893541,-4.812797070590932,-0.03256242145656827
UHS,2024-10-27,201.88197326660156,83.35046262453734,168.33567713600107,42.527524290835345,41.24346897504865,7.870448080270601,1.961424005290422,-0.4879176019959289,-8.983785046256902,-11.569974876532331
WM,2024-10-27,203.87037658691406,92.2439527920203,130.4719198143768,53.687015285070885,14.924043696819512,2.5871102464754148,0.7288009233854945,0.27038824062325895,-1.6652237912025456,-0.7476659343840117
CDNS,2024-10-27,257.29998779296875,78.209062716366,112.52513936507262,45.457519240531326,30.524685380470096,7.161429268973214,1.0280349578034196,-0.6648589952106112,-3.0855968424562303,-3.871304975818699
SBCF,2024-10-27,25.650184631347656,89.79558921497687,137.75149201756253,54.13291116344866,29.572994499961112,0.7529027891078456,0.8596639048822731,0.000775842804531456,-1.0503726501141601,-1.2253568701966198
CINF,2024-10-27,138.00225830078125,99.29700579402108,149.84832731166358,77.18737284481449,19.281708087656696,2.417395323405596,1.4002875065342395,0.14694249171170695,2.759772939491444,4.157634878465573
OLN,2024-10-27,40.1900634765625,68.94788326469458,104.96580245406417,20.182721210097085,40.93690090338285,1.345627331884963,3.2055921541473245,0.0302740595629799,-11.087732180071374,-7.443801977120976
