ticker,earnings_date,sector,sector_etf,etf_price_at_earnings,etf_return_1d,etf_return_5d,etf_return_30d,etf_return_90d,etf_vs_spy_30d
FFIN,2024-10-16,Financials,XLF,46.79234313964844,1.2366699236602412,3.7360632223155212,5.682417165268663,10.076689051731053,1.9076176673964969
INDB,2024-10-16,Financials,XLF,46.79234313964844,1.2366699236602412,3.7360632223155212,5.682417165268663,10.076689051731053,1.9076176673964969
HRI,2024-10-16,Other,SPY,575.3057250976562,0.43463954997209386,0.8940641168759286,3.774799497872166,5.686333737878229,0.0
UFPI,2024-10-16,Other,SPY,575.3057250976562,0.43463954997209386,0.8940641168759286,3.774799497872166,5.686333737878229,0.0
WABC,2024-10-16,Financials,XLF,46.79234313964844,1.2366699236602412,3.7360632223155212,5.682417165268663,10.076689051731053,1.9076176673964969
SLB,2024-10-17,Other,SPY,575.3550415039062,0.008572208496904616,1.0796023218693163,3.7412985060073787,6.40197493339871,0.0
WBS,2024-10-17,Financials,XLF,46.92045974731445,0.2737982307995577,4.339243951039964,5.410690104448987,11.51148032035742,1.6693915984416083
ALV,2024-10-17,Other,SPY,575.3550415039062,0.008572208496904616,1.0796023218693163,3.7412985060073787,6.40197493339871,0.0
RF,2024-10-17,Financials,XLF,46.92045974731445,0.2737982307995577,4.339243951039964,5.410690104448987,11.51148032035742,1.6693915984416083
FITB,2024-10-17,Financials,XLF,46.92045974731445,0.2737982307995577,4.339243951039964,5.410690104448987,11.51148032035742,1.6693915984416083
AXP,2024-10-17,Other,SPY,575.3550415039062,0.008572208496904616,1.0796023218693163,3.7412985060073787,6.40197493339871,0.0
STT,2024-10-17,Other,SPY,575.3550415039062,0.008572208496904616,1.0796023218693163,3.7412985060073787,6.40197493339871,0.0
ALLY,2024-10-17,Financials,XLF,46.92045974731445,0.2737982307995577,4.339243951039964,5.410690104448987,11.51148032035742,1.6693915984416083
HBAN,2024-10-17,Other,SPY,575.3550415039062,0.008572208496904616,1.0796023218693163,3.7412985060073787,6.40197493339871,0.0
EEFT,2024-10-17,Other,SPY,575.3550415039062,0.008572208496904616,1.0796023218693163,3.7412985060073787,6.40197493339871,0.0
RBCAA,2024-10-17,Financials,XLF,46.92045974731445,0.2737982307995577,4.339243951039964,5.410690104448987,11.51148032035742,1.6693915984416083
TFC,2024-10-17,Financials,XLF,46.92045974731445,0.2737982307995577,4.339243951039964,5.410690104448987,11.51148032035742,1.6693915984416083
CMA,2024-10-17,Other,SPY,575.3550415039062,0.008572208496904616,1.0796023218693163,3.7412985060073787,6.40197493339871,0.0
GD,2024-10-24,Industrials,XLI,133.70558166503906,-0.6876528498384147,-2.2254256346064945,0.8617971768919567,7.839084803944885,-0.5280221185928148
VRTS,2024-10-24,Other,SPY,572.282470703125,0.21627737629623472,-0.5340303949974842,1.3898192954847715,6.718236523946988,0.0
HCA,2024-10-24,Healthcare,XLV,146.7880859375,-0.6582540648166957,-1.9555177325203645,-3.0371838975610888,0.004823565612967075,-4.42700319304586
PG,2024-10-24,Other,SPY,572.282470703125,0.21627737629623472,-0.5340303949974842,1.3898192954847715,6.718236523946988,0.0
STEL,2024-10-24,Financials,XLF,46.467124938964844,0.08490853147515058,-0.9661772514399893,4.638260265410614,9.00945130321884,3.2484409699258427
ITW,2024-10-24,Other,SPY,572.282470703125,0.21627737629623472,-0.5340303949974842,1.3898192954847715,6.718236523946988,0.0
BAH,2024-10-24,Other,SPY,572.282470703125,0.21627737629623472,-0.5340303949974842,1.3898192954847715,6.718236523946988,0.0
GNTX,2024-10-24,Other,SPY,572.282470703125,0.21627737629623472,-0.5340303949974842,1.3898192954847715,6.718236523946988,0.0
PIPR,2024-10-24,Other,SPY,572.282470703125,0.21627737629623472,-0.5340303949974842,1.3898192954847715,6.718236523946988,0.0
DCOM,2024-10-24,Other,SPY,572.282470703125,0.21627737629623472,-0.5340303949974842,1.3898192954847715,6.718236523946988,0.0
LKFN,2024-10-24,Financials,XLF,46.467124938964844,0.08490853147515058,-0.9661772514399893,4.638260265410614,9.00945130321884,3.2484409699258427
GRC,2024-10-24,Other,SPY,572.282470703125,0.21627737629623472,-0.5340303949974842,1.3898192954847715,6.718236523946988,0.0
TXNM,2024-10-24,Energy,XLE,86.90907287597656,-0.011121241457073983,-0.9267429831981521,1.0123809343082106,-1.7880481297230897,-0.3774383611765608
WT,2024-10-24,Other,SPY,572.282470703125,0.21627737629623472,-0.5340303949974842,1.3898192954847715,6.718236523946988,0.0
NVT,2024-10-24,Industrials,XLI,133.70558166503906,-0.6876528498384147,-2.2254256346064945,0.8617971768919567,7.839084803944885,-0.5280221185928148
BOH,2024-10-27,Financials,XLF,45.95465850830078,0.0,-2.078943304206462,3.2779613565534196,7.956447627796572,1.9533087782768483
ABCB,2024-10-27,Financials,XLF,45.95465850830078,0.0,-2.078943304206462,3.2779613565534196,7.956447627796572,1.9533087782768483
KDP,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
AGYS,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
RVTY,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
LEG,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
CR,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
DORM,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
AMKR,2024-10-27,Technology,XLK,228.83644104003906,0.0,-0.2685171103015594,2.3056211786813092,7.144536073576889,0.980968600404738
NBTB,2024-10-27,Financials,XLF,45.95465850830078,0.0,-2.078943304206462,3.2779613565534196,7.956447627796572,1.9533087782768483
ACGL,2024-10-27,Financials,XLF,45.95465850830078,0.0,-2.078943304206462,3.2779613565534196,7.956447627796572,1.9533087782768483
NOV,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
FTAI,2024-10-27,Industrials,XLI,133.3510284423828,0.0,-2.7788043317437756,0.42274039747640446,7.740791177263226,-0.9019121808001668
NXPI,2024-10-27,Technology,XLK,228.83644104003906,0.0,-0.2685171103015594,2.3056211786813092,7.144536073576889,0.980968600404738
NUE,2024-10-27,Materials,XLB,92.12041473388672,0.0,-3.7590876407607414,-3.0540634024644664,3.1581353048397856,-4.378715980741037
NE,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
PFG,2024-10-27,Financials,XLF,45.95465850830078,0.0,-2.078943304206462,3.2779613565534196,7.956447627796572,1.9533087782768483
UHS,2024-10-27,Healthcare,XLV,145.9824676513672,0.0,-2.9648191308597127,-2.8950590205086346,-0.6036750151581077,-4.219711598785206
WM,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
CDNS,2024-10-27,Technology,XLK,228.83644104003906,0.0,-0.2685171103015594,2.3056211786813092,7.144536073576889,0.980968600404738
SBCF,2024-10-27,Financials,XLF,45.95465850830078,0.0,-2.078943304206462,3.2779613565534196,7.956447627796572,1.9533087782768483
CINF,2024-10-27,Financials,XLF,45.95465850830078,0.0,-2.078943304206462,3.2779613565534196,7.956447627796572,1.9533087782768483
OLN,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
RMBS,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
NWBI,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
HIG,2024-10-27,Financials,XLF,45.95465850830078,0.0,-2.078943304206462,3.2779613565534196,7.956447627796572,1.9533087782768483
SSD,2024-10-27,Industrials,XLI,133.3510284423828,0.0,-2.7788043317437756,0.42274039747640446,7.740791177263226,-0.9019121808001668
CFLT,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
FFIV,2024-10-27,Other,SPY,572.0848388671875,0.0,-0.9493940427003287,1.3246525782765712,6.618704937769418,0.0
IBRX,2024-11-07,Healthcare,XLV,146.4933624267578,0.7227779820086583,1.5251526352885068,-1.7655937296732487,-0.2092670383782007,-5.6806643929258245
CMPO,2024-11-07,Other,SPY,588.455810546875,0.7732183971961113,4.742885476233208,3.915070663252576,12.091564514681378,0.0
CLMT,2024-11-07,Other,SPY,588.455810546875,0.7732183971961113,4.742885476233208,3.915070663252576,12.091564514681378,0.0
PAR,2024-11-07,Technology,XLK,235.92147827148438,1.744167873484475,6.83045814518719,4.16814045651845,15.66720647464345,0.25306979326587387
SPHR,2024-11-07,Other,SPY,588.455810546875,0.7732183971961113,4.742885476233208,3.915070663252576,12.091564514681378,0.0
SPH,2024-11-13,Utilities,XLU,76.11420440673828,-0.17837224296967022,1.0315885968167138,-2.367598514479461,6.437634581484191,-4.570155429645882
TLN,2024-11-13,Energy,XLE,91.46743774414062,0.7784239309017312,1.01539309303515,1.8756048662753204,5.21198088376056,-0.32695204889110085
WWD,2024-11-13,Other,SPY,590.016845703125,0.048581360116628385,1.0405460943774638,2.2025569151664213,8.308490041768998,0.0
WSM,2024-11-13,Other,SPY,590.016845703125,0.048581360116628385,1.0405460943774638,2.2025569151664213,8.308490041768998,0.0
ATKR,2024-11-14,Other,SPY,586.2229614257812,-0.6430128741193085,-0.3794421061147609,2.3405282760246173,7.371307722542763,0.0
BKE,2024-11-14,Other,SPY,586.2229614257812,-0.6430128741193085,-0.3794421061147609,2.3405282760246173,7.371307722542763,0.0
NB,2024-11-14,Other,SPY,586.2229614257812,-0.6430128741193085,-0.3794421061147609,2.3405282760246173,7.371307722542763,0.0
SPB,2024-11-14,Consumer,XLY,213.4518585205078,-1.4195413643075365,1.4945154447991136,8.798726282882983,17.79840603773229,6.458198006858366
BTDR,2024-11-14,Technology,XLK,233.04971313476562,-0.3399424074384987,-1.2172546381784257,2.558168284171175,6.120723276027208,0.21764000814655748
ASTS,2024-11-14,Other,SPY,586.2229614257812,-0.6430128741193085,-0.3794421061147609,2.3405282760246173,7.371307722542763,0.0
ACLX,2024-11-14,Other,SPY,586.2229614257812,-0.6430128741193085,-0.3794421061147609,2.3405282760246173,7.371307722542763,0.0
COGT,2024-11-14,Healthcare,XLV,141.98391723632812,-1.5732526320131925,-3.078259052647707,-5.449787443708426,-5.109541454022774,-7.7903157197330435
