ticker
ABEO
ABL
ABOS
ACIU
ACTG
ASUR
ATLX
ATOS
BBBY
BHRB
BKKT
BLMN
BMRC
BNTC
BOC
BORR
BTCS
CBAT
CDZI
CURR
CVEO
CWCO
DFLI
DLTH
DOGZ
DVLT
EFSI
FGNX
FPH
GBFH
HSDT
HUMA
ISBA
MBOT
MCBS
MNPR
MRTN
NAT
NECB
NKSH
OCGN
OPY
PERF
PNBK
RILY
RMBI
SGML
SHEN
SKYH
SMP
SSYS
TBN
TMP
TRX
UMAC
USAU
VSTS
WOOF
WWR
YTRA
ZUMZ
