ticker,earnings_date,surprise_pct,entry_price,day-1_return,day0_return,day1_return,day2_return,day3_return,day4_return,day5_return,day6_return,day7_return,day8_return,day9_return,day10_return,day0_reaction,day1_reaction,strategy2_return,max_return_0to7,min_return_0to7,volatility_0to7,day0_volume,day_minus1_volume,volume_spike,historical_beat_rate,avg_beat_pct,consecutive_beats,big_beat_rate,beta,pe_ratio,market_cap,profit_margin,analyst_count,avg_volume_90d,volume_consistency,vix,is_beat,is_big_beat,is_miss,is_big_miss,day0_negative,day1_negative,recovered_by_day7,profitable_strategy2
KDP,2025-07-24 07:00:00,0.96,33.75,0.0,-1.422222222222213,-2.1925925925925984,0.2962962962963005,-1.0962962962962888,-3.1111111111111027,-1.1555555555555572,-1.3925925925925893,-1.0074074074074175,-1.0074074074074175,0.711111111111117,2.0740740740740824,-1.422222222222213,-2.1925925925925984,-1.0074074074074175,0.2962962962963005,-3.1111111111111027,0.917771500292404,81209,153980,0.5273996622938044,0.8333333333333334,2.909,10,0.125,0.437,23.619469,36256641024,0.09747,17.0,7402690.625,0.5850589392355282,,True,False,False,False,True,True,False,False
KDP,2025-04-24 06:00:00,9.85,34.49,0.0,1.3627138300956765,-0.08698173383589775,-0.6668599594085357,-1.0437808060307319,-2.580458103798204,-0.1739634676717955,-0.2609452015076933,-1.0437808060307319,-1.304726007538425,-1.0147868947521062,-2.7544215714699996,1.3627138300956765,-0.08698173383589775,-1.0437808060307319,1.3627138300956765,-2.580458103798204,1.0440764919769596,78166,127580,0.6126822385953912,0.8333333333333334,2.909,10,0.125,0.437,23.619469,36256641024,0.09747,17.0,7402690.625,0.5850589392355282,,True,True,False,False,False,True,False,False
KDP,2025-02-25 07:00:00,1.54,34.65,0.0,-5.194805194805187,-2.7128427128427064,-3.8095238095238106,-0.43290043290042884,-2.972582972582976,-3.8961038961039,-3.2323232323232256,-3.780663780663767,-6.089466089466089,-3.8672438672438565,-5.656565656565659,-5.194805194805187,-2.7128427128427064,-3.780663780663767,-0.43290043290042884,-5.194805194805187,1.279459019118676,106530,147738,0.7210737927953539,0.8333333333333334,2.909,10,0.125,0.437,23.619469,36256641024,0.09747,17.0,7402690.625,0.5850589392355282,,True,False,False,False,True,True,False,False
KDP,2024-10-24 07:00:00,0.79,35.0,0.0,-1.2285714285714278,-7.085714285714277,-6.514285714285717,-5.171428571428578,-6.142857142857139,-6.228571428571428,-6.62857142857143,-6.800000000000008,-5.400000000000001,-5.342857142857135,-6.05714285714285,-1.2285714285714278,-7.085714285714277,-6.800000000000008,-1.2285714285714278,-7.085714285714277,1.7818207553178946,76516,170748,0.44812237917867265,0.8333333333333334,2.909,10,0.125,0.437,23.619469,36256641024,0.09747,17.0,7402690.625,0.5850589392355282,,True,False,False,False,True,True,False,False
KDP,2024-07-25 07:00:00,0.27,33.21,0.0,3.884372177055101,2.499247214694364,2.7401385124962254,3.2219211080999703,4.878048780487797,5.6007226738934035,3.282143932550426,3.824149352604625,4.125263474856963,3.9747064137308046,4.065040650406508,3.884372177055101,2.499247214694364,3.824149352604625,5.6007226738934035,2.499247214694364,0.9875843186537497,112458,158051,0.7115298226521819,0.8333333333333334,2.909,10,0.125,0.437,23.619469,36256641024,0.09747,17.0,7402690.625,0.5850589392355282,,True,False,False,False,False,False,True,True
KDP,2024-04-25 07:00:00,9.96,33.43,0.0,0.867484295542923,0.8076577924020435,0.8076577924020435,-0.08973975471134052,0.20939276099312082,1.196530062817824,0.38887227041580186,1.1666168112473845,0.8076577924020435,1.7648818426563069,1.5854023332336258,0.867484295542923,0.8076577924020435,1.1666168112473845,1.196530062817824,-0.08973975471134052,0.42853734535614024,85409,126141,0.6770915087085088,0.8333333333333334,2.909,10,0.125,0.437,23.619469,36256641024,0.09747,17.0,7402690.625,0.5850589392355282,,True,True,False,False,False,False,True,True
KDP,2024-02-22 07:00:00,1.49,30.36,0.0,-0.6916996047430859,-2.33860342555995,-2.602108036890643,-1.284584980237156,-3.3267457180500593,-3.5573122529644214,-4.150197628458492,-3.6231884057970944,-3.91963109354413,-4.446640316205527,-3.425559947299075,-0.6916996047430859,-2.33860342555995,-3.6231884057970944,-0.6916996047430859,-4.150197628458492,1.132470932337577,198503,144334,1.3753031163828342,0.8333333333333334,2.909,10,0.125,0.437,23.619469,36256641024,0.09747,17.0,7402690.625,0.5850589392355282,,True,False,False,False,True,True,False,False
KDP,2023-10-26 07:00:00,2.61,29.38,0.0,1.667801225323356,2.416609938733836,3.0973451327433636,3.6759700476514703,5.275697753573862,5.92239618788292,5.411844792375765,5.5139550714771985,5.95643294758339,5.445881552076248,5.411844792375765,1.667801225323356,2.416609938733836,5.5139550714771985,5.92239618788292,1.667801225323356,1.5146776349766962,136376,127721,1.067764893791937,0.8333333333333334,2.909,10,0.125,0.437,23.619469,36256641024,0.09747,17.0,7402690.625,0.5850589392355282,,True,False,False,False,False,False,True,True
KDP,2023-07-27 07:00:00,4.88,33.7,0.0,0.6528189910979194,1.0979228486646806,1.2166172106824824,2.255192878338273,0.6824925816023645,-0.08902077151335648,0.3560830860534049,-1.5727002967359083,0.05934718100889027,-0.8902077151335437,-0.08902077151335648,0.6528189910979194,1.0979228486646806,-1.5727002967359083,2.255192878338273,-1.5727002967359083,1.0384630608728789,127874,189692,0.6741138266242119,0.8333333333333334,2.909,10,0.125,0.437,23.619469,36256641024,0.09747,17.0,7402690.625,0.5850589392355282,,True,False,False,False,False,False,False,False
KDP,2023-04-27 07:00:00,2.07,33.6,0.0,-2.6785714285714244,-3.690476190476196,-3.18452380952381,-2.529761904761909,-3.3035714285714266,-1.011904761904772,-2.232142857142857,-2.113095238095241,-3.0059523809523747,-3.5714285714285796,-2.767857142857142,-2.6785714285714244,-3.690476190476196,-2.113095238095241,-1.011904761904772,-3.690476190476196,0.7850936486153007,175304,144011,1.217295901007562,0.8333333333333334,2.909,10,0.125,0.437,23.619469,36256641024,0.09747,17.0,7402690.625,0.5850589392355282,,True,False,False,False,True,True,False,False
