entry_strategy,exit_day,sizing_method,filters,stop_loss,take_profit,trade_count,avg_return,median_return,win_rate,avg_win,avg_loss,expectancy,sharpe,max_drawdown,total_pnl,score,stopped_out,hit_target,time_exit
positive_strong,15,fixed,"{'beta_min': 1.2, 'beta_max': 2.0}",-8,12,114,9.017543859649123,12.0,85.08771929824562,12.0,-8.0,9.017543859649123,1.2602003248977796,-16,41120.0,33.25935336582311,17,97,0
positive_strong,15,fixed,{},-10,15,210,10.714285714285714,15.0,82.85714285714286,15.0,-10.0,10.714285714285715,1.134436341452389,-30,90000.0,33.25630077700239,36,174,0
positive_strong,15,fixed,{'volume_spike_min': 2.5},-8,12,67,9.014925373134329,12.0,85.07462686567165,12.0,-8.0,9.01492537313433,1.2554634725984923,-8,24160.0,33.253904556215076,10,57,0
positive_strong,15,fixed,{'market_cap_min': 5000000000.0},-8,12,140,9.0,12.0,85.0,12.0,-8.0,9.0,1.2557431091996967,-24,50400.0,33.225574310919974,21,119,0
positive_strong,15,fixed,{'volume_spike_min': 1.5},-8,12,155,8.774193548387096,12.0,83.87096774193549,12.0,-8.0,8.774193548387096,1.1889449417200475,-16,54400.0,32.78986223610749,25,130,0
positive_strong,15,fixed,{'volume_spike_min': 3.0},-5,10,60,7.75,10.0,85.0,10.0,-5.0,7.75,1.4348474548157166,-10,18600.0,32.743484745481574,9,51,0
positive_strong,15,fixed,"{'beta_min': 1.0, 'beta_max': 1.5}",-8,12,104,8.73076923076923,12.0,83.65384615384616,12.0,-8.0,8.730769230769234,1.1748264308228433,-16,36320.0,32.70594418154383,17,87,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.75}",-8,12,50,8.4,12.0,82.0,12.0,-8.0,8.4,1.082228955533496,-16,16800.0,32.06822289555335,9,41,0
positive_strong,15,fixed,{'market_cap_min': 1000000000.0},-8,12,305,8.39344262295082,12.0,81.9672131147541,12.0,-8.0,8.39344262295082,1.0897967105578783,-24,102400.0,32.05652065466234,55,250,0
positive_strong,15,fixed,"{'beat_rate_min': 0.7, 'consecutive_beats_min': 1}",-8,12,137,8.35036496350365,12.0,81.75182481751825,12.0,-8.0,8.350364963503653,1.0770259905678725,-24,45760.0,31.973396029713726,25,112,0
positive_strong,15,fixed,{'volume_spike_min': 2.0},-8,12,91,8.263736263736265,12.0,81.31868131868131,12.0,-8.0,8.263736263736263,1.0542608588602649,-16,30080.0,31.806524986984925,17,74,0
positive_strong,15,fixed,{},-8,12,312,8.217948717948717,12.0,81.08974358974359,12.0,-8.0,8.217948717948719,1.0476221116158388,-24,102560.0,31.71886477526415,59,253,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.6}",-8,12,63,8.19047619047619,12.0,80.95238095238095,12.0,-8.0,8.19047619047619,1.0345930696629397,-16,20640.0,31.665364068871053,12,51,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.65}",-8,12,61,8.065573770491802,12.0,80.32786885245902,12.0,-8.0,8.065573770491804,1.0061370731515114,-16,19680.0,31.425203871249575,12,49,0
positive_strong,15,fixed,{'volume_spike_min': 2.5},-5,10,85,7.176470588235294,10.0,81.17647058823529,10.0,-5.0,7.1764705882352935,1.2167019929706608,-10,24400.0,31.345199611061773,16,69,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7, 'vix_max': 20}",-8,12,54,7.925925925925926,12.0,79.62962962962963,12.0,-8.0,7.925925925925927,0.974819611717755,-16,17120.0,31.156741220431037,11,43,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7}",-8,12,54,7.925925925925926,12.0,79.62962962962963,12.0,-8.0,7.925925925925927,0.974819611717755,-16,17120.0,31.156741220431037,11,43,0
positive_strong,15,fixed,"{'volume_spike_min': 2.0, 'beat_rate_min': 0.7, 'vix_max': 25}",-8,12,54,7.925925925925926,12.0,79.62962962962963,12.0,-8.0,7.925925925925927,0.974819611717755,-16,17120.0,31.156741220431037,11,43,0
